WKT,Latitude,Longitude,Name,Category,Time,Description,Classification
POINT (126.9845087 37.5696298),37.5696298,126.9845087,Insaeng Hoetjip,Korean,11:00 - 05:00.,"Seafood restaurant. Ramen may contain pork ingredients.
Seoul Tourism Association gave 'Salam' mark.",Seafood restaurant
POINT (126.9786701 37.55745819999999),37.5574581,126.9786701,Yeosu Hoetjip,Korean,11:00 - 15:00. 17:00-22:00.,"Seafood restaurant. No pork included.
Seoul Tourism Association gave 'Salam' mark.",Seafood restaurant
POINT (126.9785367 37.5580369),37.5580369,126.9785367,Sokchojip,Korean,,"Seafood restaurant. No pork included.
Seoul Tourism Association gave 'Salam' mark.",Seafood restaurant
POINT (126.9730162 37.5765503),37.5765503,126.9730162,Ganggu Mijuguri,Korean,11:00 - 22:30. Breaktime 15:00 - 17:00. Closed on Sundays.,"Seafood restaurant. No pork included.
Seoul Tourism Association gave 'Salam' mark.",Seafood restaurant
POINT (126.9782894 37.567264),37.567264,126.9782894,Wonju Chueotang,Korean,Mon - Fri 09:30 - 21:00. Sat 10:00 - 19:00.,"Seafood restaurant. Loach Cuisine. No pork included.
Seoul Tourism Association gave 'Salam' mark.",Seafood restaurant
POINT (126.9865274 37.5721461),37.5721461,126.9865274,Sosalito,Korean,Tue -  Sat 12:00 - 21:30. Mon 17:00 - .Breaktime 14:30 - 17:00.,"Lobster Cuisine. Ramen may contain pork ingredients.
Seoul Tourism Association gave 'Salam' mark.",Seafood restaurant
POINT (126.9770398 37.5597971),37.5597971,126.9770398,Jungang Galchi,Korean,08:30 - 21:00.,"Seafood restaurant. Grilled fish. No pork included.
Seoul Tourism Association gave 'Salam' mark.",Seafood restaurant
POINT (127.0683324 37.29232289999999),37.2923228,127.0683324,Ocho,Japanese,11:30 - 21:00. Breaktime 15:00 - 17:00. Closed on Tuesdays.,Sushi. Seafood restaurant. No pork included.,Seafood restaurant
POINT (127.048582 37.274044),37.274044,127.048582 ,Namhae Saengseongui,Korean,10:00 - 21:00.,Seafood restaurant. Grilled fish. No pork included.,Seafood restaurant
POINT (126.9911312 37.5602518),37.5602518,126.9911312,Homigot,Korean,11:30 - 22:00. Breaktime 14:00 - 17:00. Closed on Weekends.,Seafood restaurant. No pork included.,Seafood restaurant
POINT (126.9443888 37.5123476),37.5123476,126.9443888,Daehan Haemul,Korean,,"Seafood restaurant. Steamed seafood, stew. No pork included.",Seafood restaurant
POINT (126.9446229 37.5115936),37.5115936,126.9446229,Norayng Haejeon,Korean,12:00 - 02:00.,Seafood restaurant. No pork included.,Seafood restaurant
POINT (126.9449644 37.5115186),37.5115186,126.9449644,Ojingeoya,Korean,11:30 - 01:00.,Seafood restaurant. Ramen may contain pork ingredients.,Seafood restaurant
POINT (126.9540432 37.48136009999999),37.4813600,126.9540432,Haengundong Jogae,Korean,15:00 - 24:00. Closed on Mondays.,Seafood restaurant. Grilled clams. Ramen may contain pork ingredients.,Seafood restaurant
POINT (126.9628158 37.4750688),37.4750688,126.9628158,Golmok Chamchi,Korean,17:00 - 24:00. Thu - Sun : - 02:00.,Seafood restaurant. Tuna sashimi. Ramen may contain pork ingredients.,Seafood restaurant
POINT (126.9536515 37.4815009),37.4815009,126.9536515,Daeho Agujip,Korean,10:30 - 22:00. Closed on Mondays.,"Seafood restaurant. Steamed seafood, stew. No pork included.",Seafood restaurant
POINT (126.9422978 37.48296059999999),37.4829605,126.9422978,Badaga Naesonagui,Korean,11:00 - 03:00.,"Seafood restaurant. Steamed seafood, stew. No pork included.",Seafood restaurant
POINT (126.9393703 37.4837478),37.4837478,126.9393703,Tongtong Jogae Jeongol,Korean,15:00 - 01:00.,Seafood restaurant. Clam hot pot. No pork included.,Seafood restaurant
POINT (126.9544562 37.4789333),37.4789333,126.9544562,Kaisendon136,Japanese,Tue - Sun 11:30 - 21:30. Breaktime 15:00 - 17:00.,Seafood restaurant. Kaisendon. No pork included.,Seafood restaurant
POINT (126.9536879 37.4821057),37.4821057,126.9536879,Garam,Korean,16:00 - 24:00. Closed on the 2nd and 4th Sundays of every month.,Seafood restaurant. No pork included.,Seafood restaurant
POINT (126.956117 37.4802632),37.4802632,126.956117 ,Haedo Susan,Korean,15:00 - 01:00.,Seafood restaurant. No pork included.,Seafood restaurant
POINT (126.9537793 37.482042),37.482042,126.9537793,Jeongsun's Saengseongui,Korean,11:00 - 24:00.,Seafood restaurant. Grilled Fish. No pork included.,Seafood restaurant
POINT (126.9439324 37.4832344),37.4832344,126.9439324,Ojingeo Nara,Korean,"17:00 - 24:00. Fri, Sat - 02:00.",Seafood restaurant. Ramen may contain pork ingredients.,Seafood restaurant
POINT (126.9491095 37.4808405),37.4808405,126.9491095,Gaetbawi,Korean,Mon - Fri 11:00 - 20:00. Sat - 15:00.,Seafood restaurant. Fish stew. No pork included.,Seafood restaurant
POINT (126.9434032 37.4824703),37.4824703,126.9434032,Dadohae,Korean,11:00 - 22:00. Weekdays Breaktime 15:00 - 16:30.,Seafood restaurant. No pork included.,Seafood restaurant
POINT (126.9526232 37.4817445),37.4817445,126.9526232,Jijunghae Chamchi,Japanese,16:00 - 22:30.,Seafood restaurant. Tuna sashimi. Ramen may contain pork ingredients.,Seafood restaurant
POINT (126.9378646 37.4843497),37.4843497,126.9378646,Daegae Hansang,Korean,12:00 - 22:30.,Seafood restaurant. Lobster and King Crab. No pork included.,Seafood restaurant
POINT (126.951919 37.47762849999999),37.4776284,126.951919 ,Jeju Eungalchi,Korean,10:00 - 22:00.,Seafood restaurant. Cutlassfish. The seaweed soup served as a side dish may have used beef that is not halal.,Seafood restaurant
POINT (126.956336 37.4782015),37.4782015,126.956336 ,Ddakjoa,Korean,16:00 - 24:00.,Seafood restaurant. No pork included.,Seafood restaurant
POINT (126.9517739 37.48254970000001),37.4825497,126.9517739,Eosachultto,Korean,"13:00 - 00:30. Fri, Sat - 01:30. Sun - 23:30.",Seafood restaurant. No pork included.,Seafood restaurant
POINT (126.9322756 37.4849425),37.4849425,126.9322756,Geohae Chamchi,Japanese,16:00 - 23:50.,Seafood restaurant. Tuna sashimi. No pork included.,Seafood restaurant
POINT (126.9671807 37.5616583),37.5616583,126.9671807,Bijindo Haemulttukbaeki 1,Korean,lunch 11:00 - 14:00.,Seafood restaurant. Ramen may contain pork ingredients.,Seafood restaurant
POINT (126.9649636 37.559075),37.559075,126.9649636,Bijindo Haemulttukbaeki 2,Korean,11:00 - 24:00. Breaktime 15:00 - 17:00. Closed on Weekends.,Seafood restaurant. Ramen may contain pork ingredients.,Seafood restaurant
POINT (126.9663545 37.5613046),37.5613046,126.9663545,Hyeondae Susan,Korean,16:30 - 23:30. Closed on Weekends.,Seafood restaurant. Ramen may contain pork ingredients.,Seafood restaurant
POINT (126.9661833 37.5642294),37.5642294,126.9661833,Sajo Chamchi,Japanese,11:00 - 22:00. Breaktime 15:00 - 17:00.,Seafood restaurant. Tuna sashimi. No pork included.,Seafood restaurant
POINT (126.9690236 37.5578848),37.5578848,126.9690236,Yeongdeok Mulhoemakhoe,Korean,11:00 - 22:00. Closed on Sundays.,Seafood restaurant. No pork included.,Seafood restaurant
POINT (126.9670818 37.5642571),37.5642571,126.9670818,Samo Jjukkumi,Korean,11:30 - 22:00. Breaktime 14:00 - 17:00. Closed on Weekends.,Seafood restaurant. Stir-fried Wepfoot Octopus. No pork included.,Seafood restaurant
POINT (126.9639223 37.5610866),37.5610866,126.9639223,Yeongduk Makhoe,Korean,,Seafood restaurant. No pork included.,Seafood restaurant
POINT (126.9633161 37.5589269),37.5589269,126.9633161,Haemi Susan,Korean,,Seafood restaurant. No pork included.,Seafood restaurant
POINT (126.9676929 37.562455),37.562455,126.9676929,Maknae Hoejip,Korean,11:30 - 22:00. Breaktime 14:00 - 17:00. Closed on Weekends.,Seafood restaurant. No pork included.,Seafood restaurant
POINT (126.9659356 37.56528229999999),37.5652822,126.9659356,Samho,Korean,Mon -  Fri 11:00 - 22:00. Sat -21:00.,Seafood restaurant. Pufferfish cuisine. No pork included.,Seafood restaurant
POINT (126.9672059 37.5595241),37.5595241,126.9672059,Buwon Bokjip,Korean,11:00 - 14:00. Closed on Weekends.,Seafood restaurant. Pufferfish cuisine. No pork included.,Seafood restaurant
POINT (126.9409783 37.54140439999999),37.5414043,126.9409783,Jangkang,Korean,15:00 - 22:00.,Seafood restaurant. Grilled Eel. No pork included.,Seafood restaurant
POINT (127.0329648 37.5603454),37.5603454,127.0329648,Gulgwa Jjimsarang,Korean,Tue - Sat 15:00 -24:00. Sun 12:00 - 23:00.,Seafood restaurant. Steamed seafood. No pork included.,Seafood restaurant
POINT (126.9819319 37.5671284),37.5671284,126.9819319,Chungmoo Jip,Korean,Mon - Fri 11:30 - 22:00. Breaktime  15:00 - 17:00. Sat -20:00.,Seafood restaurant. Fish stew. No pork included.,Seafood restaurant
POINT (128.0708869 34.9282581),34.9282581,128.0708869,Wonjo Yangji Haemultang,Korean,09:00 - 21:00.,Seafood restaurant. Seafood stew. No pork included.,Seafood restaurant
POINT (128.0692217 34.9279147),34.9279147,128.0692217,Gwibin Sikdang,Korean,10:00 - 21:00. Weekdays Breaktime 15:00 - 17:00. Closed on Tuesdays.,Seafood restaurant. Seafood stew. No pork included.,Seafood restaurant
POINT (128.0752686 34.9240057),34.9240057,128.0752686,Bokwon Howejip,Korean,10:00 - 21:40.,Seafood restaurant. No pork included.,Seafood restaurant
POINT (128.0557591 34.9886148),34.9886148,128.0557591,Jeju Jeonbok Mulhoe,Korean,10:30 - 21:00. Breaktime 15:00 - 17:00.,Seafood restaurant. Raw fish in cold broth. No pork included.,Seafood restaurant
POINT (128.0525402 34.9325747),34.9325747,128.0525402,Haemil,Korean,10:00 - 20:00. Closed on Mondays.,Seafood restaurant. Abalone cuisine. No pork included.,Seafood restaurant
POINT (128.0868484 35.0790623),35.0790623,128.0868484,Kyeongwon Haemuljjim,Korean,11:30 - 22:00. Breaktime 14:30 - 17:00.,Seafood restaurant. Steamed Seafood. No pork included.,Seafood restaurant
POINT (128.0755522 34.9259573),34.9259573,128.0755522,Bada Hyangki Mulhoe,Korean,11:00 - 20:00. Breaktime 15:00 - 17:00. Closed on Mondays.,Seafood restaurant. Raw fish in cold broth. No pork included.,Seafood restaurant
POINT (128.0623992 34.9802292),34.9802292,128.0623992,Hala Kalchiwang,Korean,11:00 - 20:00. Breaktime 15:00 - 17:00. Closed on Wednesdays.,Seafood restaurant. Cutlassfish. No pork included.,Seafood restaurant
POINT (128.0416145 34.9637261),34.9637261,128.0416145,Gwangpo Haemuljjim,Korean,09:00 - 21:00.,Seafood restaurant. Steamed Seafood. No pork included.,Seafood restaurant
POINT (128.0841698 34.93867940000001),34.9386794,128.0841698,Samcheonpo Dollgaejang,Korean,10:00 - 20:00. Closed on Wednesdays.,"Seafood restaurant. Soy Crab, Grilled fish. No pork included.",Seafood restaurant
POINT (128.0754855 34.92620720000001),34.9262072,128.0754855,Samhak Mulhoe,Korean,09:30 - 20:00. Closed on Thursdays.,Seafood restaurant. Raw fish in cold broth. No pork included.,Seafood restaurant
POINT (128.0706428 34.9282622),34.9282622,128.0706428,Yonggung Haemultang,Korean,11:00 - 21:00. Closed on Wednesdays.,Seafood restaurant. Seafood stew. No pork included,Seafood restaurant
POINT (128.0754416 34.9240222),34.9240222,128.0754416,Dongkang Hoejip,Korean,09:00 - 22:00.,Seafood restaurant. No pork included.,Seafood restaurant
POINT (126.9709461 37.5776465),37.5776465,126.9709461,Maji,Korean,"11:30 - 21:00. Breaktime 15:00 - 17:00.
Sun,Mon - 15:00. Closed on Tuesdays.","Vegetarian Restaurant.
A restaurant certified as Muslim-friendly by the Korean government.",Vegetarian restaurant
POINT (126.9932768 37.5403445),37.5403445,126.9932768,Savage Garden,Cafe,10:30 - 21:30.,Vegetarian Cafe,Vegetarian restaurant
POINT (126.9991935 37.5354302),37.5354302,126.9991935,Monk’s Butcher,Western,18:00 - 22:30. Weekends 11:00 - 24:00.,Vegetarian Restaurant.,Vegetarian restaurant
POINT (126.9872559 37.5436774),37.5436774,126.9872559,Vegetus,Western,12:00 - 21:30. Breaktime 15:00 - 17:00.,Vegetarian Restaurant.,Vegetarian restaurant
POINT (126.972809 37.54291910000001),37.5429191,126.972809 ,Cafe SIVA,Cafe,11:30 - 21:00. Breaktime 15:00 - 17:00. Closed on Weekends.,Vegetarian Cafe.,Vegetarian restaurant
POINT (126.4844729 33.48161209999999),33.4816120,126.4844729,LouLou Vegan,Korean,10:30 - 16:30. ,"Vegetarian Restaurant.
A restaurant certified as Muslim-friendly by the Korean government.",Vegetarian restaurant
POINT (126.2543639 33.40465419999999),33.4046541,126.2543639,Andyu café,Cafe,"12:00 - 19:00. Closed on Tuesdays, Wednesdays.","Vegetarian Restaurant.
A restaurant certified as Muslim-friendly by the Korean government.",Vegetarian restaurant
POINT (126.9490809 37.5395882),37.5395882,126.9490809,Base is Nice,Western,11:00 - 15:00. Closed on Mondays.,Vegetarian Restaurant.,Vegetarian restaurant
POINT (126.9852542 37.5746333),37.5746333,126.9852542,Osegyehyang,Korean,11:30 - 21:00pm. Breaktime 16:00 - 17:00pm.,"Vegetarian Restaurant.
A restaurant certified as Muslim-friendly by the Korean government.",Vegetarian restaurant
POINT (127.0476886 37.47671499999999),37.4767149,127.0476886,Loving Hut Land,Western,10:55 - 20:00. Closed on Mondays.,Vegetarian Restaurant.,Vegetarian restaurant
POINT (126.7282028 33.2854829),33.2854829,126.7282028,Loving Hut,Korean,12:00 - 16:00. Closed on Mondays.,"Vegetarian Restaurant.
A restaurant certified as Muslim-friendly by the Korean government.",Vegetarian restaurant
POINT (126.7058637 33.5117315),33.5117315,126.7058637,Small Kitchen,Korean,09:00 - 15:00. Closed Sundays.,Vegetarian course meal. Need to make a reservation,Vegetarian restaurant
POINT (126.965051 37.5303563),37.5303563,126.965051 ,Plantude,Western,11:00 - 21:00.,Vegetarian Restaurant.,Vegetarian restaurant
POINT (126.9474496 37.5557338),37.5557338,126.9474496,Sunny Bowl,Western,11:00 - 22:00. Breaktime 15:00 - 16:30. Closed on Mondays,Vegetarian Restaurant.,Vegetarian restaurant
POINT (127.0230298 37.5236197),37.5236197,127.0230298,Mahina Vegan Table,Western,11:30 - 22:00. Breaktime 16:00 - 17:00. Closed on Mondays,Vegetarian Restaurant.,Vegetarian restaurant
POINT (127.0193273 37.5193836),37.5193836,127.0193273,Legume,Western,12:00 - 22:00. Breaktime 15:00 - 18:00.,Vegetarian Restaurant.,Vegetarian restaurant
POINT (127.0288095 37.5565743),37.5565743,127.0288095,Peach of July,Western,11:00 - 17:00. Closed on Mondays,Vegetarian Restaurant.,Vegetarian restaurant
POINT (126.9200254 37.5591555),37.5591555,126.9200254,Abandoned Sandwich,Western,"17:00 - 24:00. Closed on Mondays, Tuesdays.",Vegetarian Restaurant.,Vegetarian restaurant
POINT (126.9062198 37.5523237),37.5523237,126.9062198,Half-Full,Western,12:00 - 20:30. Breaktime 15:00 - 17:00. Closed on Sundays.,Vegetarian Restaurant.,Vegetarian restaurant
POINT (126.9072634 37.5526395),37.5526395,126.9072634,Around Green,Western,11:00 - 18:00. Closed on Sundays.,Vegetarian Restaurant.,Vegetarian restaurant
POINT (126.9312423 37.5768901),37.5768901,126.9312423,Veggies,Western,"11:00 - 22:00. Breaktime 15:00 - 17:00. Closed on Mondays, Tuesdays.",Vegetarian Restaurant.,Vegetarian restaurant
POINT (126.968569 37.5796649),37.5796649,126.968569 ,So_iroum,Western,11:30 - 20:00. Breaktime 15:00 - 17:00. Closed on Mondays.,Vegetarian Restaurant.,Vegetarian restaurant
POINT (126.9112277 37.507763),37.507763,126.9112277,Aseung-Gi,Western,"12:00 - 15:00. Closed on Weekends.
Bakery 10:00 - 20:00.",Vegetarian Restaurant. Need Reservation.,Vegetarian restaurant
POINT (126.9944605 37.5324146),37.5324146,126.9944605,Alt.A,Chinese,11:30 - 22:00. Breaktime 15:00 - 17:00.,Vegetarian Restaurant.,Vegetarian restaurant
POINT (126.6974838 37.7021719),37.7021719,126.6974838,Nokdu,Korean,Wed - Sat 11:30 - 20:00. Breaktime 15:00 - 17:00.,Vegetarian Restaurant.,Vegetarian restaurant
POINT (127.0623447 37.5895839),37.5895839,127.0623447,Green Garden,Western,11:00 - 20:00. Closed on Saturdays.,Vegetarian Restaurant.,Vegetarian restaurant
POINT (126.3288059 33.4422078),33.4422078,126.3288059,Vegantable Baram,Cafe,10:00 - 15:00.,"Vegetarian Cafe.
A restaurant certified as Muslim-friendly by the Korean government.",Vegetarian restaurant
POINT (126.5177399 33.4906721),33.4906721,126.5177399,Dasoni,Korean,11:00 - 21:00. Breaktime 15:00 - 17:00.,"Vegetarian Restaurant.
A restaurant certified as Muslim-friendly by the Korean government.",Vegetarian restaurant
POINT (126.4772004 33.4797292),33.4797292,126.4772004,A Piece of the day,Cafe,12:00 - 19:00.,"Vegetarian Cafe.
A restaurant certified as Muslim-friendly by the Korean government.",Vegetarian restaurant
POINT (127.1184334 35.8318127),35.8318127,127.1184334,Loving Hut,Korean,11:30 - 17:00.,"Vegetarian Restaurant. Buffet.
A restaurant certified as Muslim-friendly by the Korean government.",Vegetarian restaurant
POINT (127.0491885 37.5029423),37.5029423,127.0491885,Vegan Veganing,Western,08:00 - 19:00. Closed on Sundays.,Vegetarian Restaurant.,Vegetarian restaurant
POINT (127.8290662 36.2592283),36.2592283,127.8290662,Loving Hut,Korean,12:00 - 19:00.,"Vegetarian Restaurant.
A restaurant certified as Muslim-friendly by the Korean government.",Vegetarian restaurant
POINT (127.034182 37.4962447),37.4962447,127.034182 ,Loving Hut,Western,Temporarily Closed.,Vegetarian Restaurant.,Vegetarian restaurant
POINT (128.748767 35.8217993),35.8217993,128.748767 ,Saesil,Korean,11:00 - 22:00.,"Vegetarian Restaurant.
A restaurant certified as Muslim-friendly by the Korean government.",Vegetarian restaurant
POINT (127.0187156 37.565119),37.565119,127.0187156,Sindangdong Cheonpatjuk,Korean,10:30 - 20:00. Closed on Sundays.,Vegetarian Restaurant. Red bean porridge.,Vegetarian restaurant
POINT (126.9160285 37.6106713),37.6106713,126.9160285,Babpulkkot,Korean,11:30 - 14:30. Closed on Weekends.,Vegetarian Restaurant.,Vegetarian restaurant
POINT (127.0493833 37.4768582),37.4768582,127.0493833,Loving Hut Cafe,Cafe,11:00 - 21:00.,"Vegetarian Restaurant.
A restaurant certified as Muslim-friendly by the Korean government.",Vegetarian restaurant
POINT (129.134312 35.156633),35.156633,129.134312 ,Vege Narang,Korean,11:30 - 21:00. Breaktime 15:00 - 17:00.,"Vegetarian Restaurant.
A restaurant certified as Muslim-friendly by the Korean government.",Vegetarian restaurant
POINT (126.9124966 37.735356),37.735356,126.9124966,Sanchon,Korean,11:00 - 24:00,"Vegetarian Restaurant.
A restaurant certified as Muslim-friendly by the Korean government.",Vegetarian restaurant
POINT (126.4865013 33.453057),33.453057,126.4865013,Jeju café 901,Cafe,"09:00 - 18:00. Closed on Mondays, Tuesdays.","Vegetarian Cafe.
A restaurant certified as Muslim-friendly by the Korean government.",Vegetarian restaurant
POINT (126.9865931 37.5798411),37.5798411,126.9865931,Ppuri on the Plate,Western,,"It runs vegetarian/macrobiotic cooking classes. The cafe operates only occasionally as a pop-up.
and is notified in advance on Instagram.",Vegetarian restaurant
POINT (126.9885561 37.574957),37.574957,126.9885561,Vegan Insa,Korean,11:30 - 20:00. Breaktime 15:00 - 17:00.,Vegetarian Restaurant.,Vegetarian restaurant
POINT (126.9857081 37.5743048),37.5743048,126.9857081,Hanguachae,Korean,11:30 - 21:00. Breaktime 14:30 - 17:00.,Vegetarian Restaurant. Buffet.,Vegetarian restaurant
POINT (128.207043 37.1280964),37.1280964,128.207043 ,Jecheon Sirakguk,Korean,06:00 - 19:00. Closed on Mondays.,Vegetarian Restaurant. Dried radish leaf cousine.,Vegetarian restaurant
POINT (129.3077712 35.7839553),35.7839553,129.3077712,Hyangjeokwon,Korean,10:00 - 19:00.,"Vegetarian Restaurant.
A restaurant certified as Muslim-friendly by the Korean government.",Vegetarian restaurant
POINT (126.98485 37.573514),37.573514,126.98485,Maru Gimbab,Korean,,Vegetarian Restaurant.,Vegetarian restaurant
POINT (129.3125975 35.79736939999999),35.7973693,129.3125975,Sseukbujaengi,Korean,11:00 - 20:30. Breaktime 15:30 - 17:00. Closed on Wednesdays.,Vegetarian Restaurant.,Vegetarian restaurant
POINT (127.4363881 36.3645182),36.3645182,127.4363881,Loving Hut,Korean,11:30 - 19:00.,"Vegetarian Restaurant.
A restaurant certified as Muslim-friendly by the Korean government.",Vegetarian restaurant
POINT (127.019832 35.239218),35.239218,127.019832 ,Slow City Herb Table,Korean,09:30 - 18:00.,"Vegetarian Restaurant. Buffet
A restaurant certified as Muslim-friendly by the Korean government.",Vegetarian restaurant
POINT (127.004863 37.559687),37.559687,127.004863 ,Jeoksufang (Red water room),South East Asian,11:30 - 14:30. Closed on Mondays.,Vegetarian Restaurant. Buffet.,Vegetarian restaurant
POINT (127.104103 37.5132829),37.5132829,127.104103 ,Forest Kitchen,Western,12:00 - 22:00. Breaktime 15:00 - 17:00.,Vegetarian Restaurant.,Vegetarian restaurant
POINT (126.8237671 37.3142617),37.3142617,126.8237671,Loving Hut,Korean,12:00 - 21:00. ,Vegetarian Restaurant.,Vegetarian restaurant
POINT (126.832661 37.5593773),37.5593773,126.832661 ,Nokum Space,Western,11:30 - 02:30. Breaktime 15:00 - 17:30.,Vegetarian Restaurant.,Vegetarian restaurant
POINT (126.9832228 37.4805678),37.4805678,126.9832228,Nammi Plantlab,Western,12:00 - 21:00. Breaktime 16:00 - 17:30.,Vegetarian Restaurant.,Vegetarian restaurant
POINT (126.9682524 37.55764349999999),37.5576434,126.9682524,Ijo Sikdang,Korean,07:00 - 19:00.,Vegetarian Restaurant. Bean sprout bibimbap and banquet noodles.,Vegetarian restaurant
POINT (126.9327031 37.5551282),37.5551282,126.9327031,The Bread Blue,Cafe,10:00 - 21:00.,Vegetarian Restaurant.,Vegetarian restaurant
POINT (126.9078919 37.55687289999999),37.5568728,126.9078919,Duduri Dupang,Cafe,12:00 - 19:00. Closed on Sundays.,Vegetarian Restaurant.,Vegetarian restaurant
POINT (126.9931543 37.5403248),37.5403248,126.9931543,Lazy Farmers,Western,11:30 - 21:30. Breaktime 15:00 - 17:00.,Vegetarian Restaurant.,Vegetarian restaurant
POINT (127.0713321 37.5546844),37.5546844,127.0713321,Megun Table,Korean,11:00 - 22:00. Breaktime 15:00 - 17:00.,Vegetarian Restaurant. Reservation required.,Vegetarian restaurant
POINT (126.9851827 37.5460221),37.5460221,126.9851827,By Tofu,Korean,"09:00 - 18:30. Closed on Tuesdays, Wednesdays.",Vegetarian Restaurant.,Vegetarian restaurant
POINT (126.9509468 37.48253459999999),37.4825345,126.9509468,Vegan Mama,Western,11:00 - 23:00. Closed on Sundays.,Vegetarian Restaurant.,Vegetarian restaurant
POINT (127.0229867 37.5026258),37.5026258,127.0229867,VFUS,Western,11:00 - 20:00. Breaktime 14:10 - 16:30. Closed on Sundays.,Vegetarian Restaurant.,Vegetarian restaurant
POINT (126.9860581 37.5737946),37.5737946,126.9860581,Sanchon,Korean,11:30 - 22:00.,Vegetarian Restaurant.,Vegetarian restaurant
POINT (127.034182 37.4962447),37.4962447,127.034182 ,Loving Hut,Western,18:00 - 21:00. Closed on Weekends.,Vegetarian Restaurant.,Vegetarian restaurant
POINT (127.0342127 37.52546510000001),37.5254651,127.0342127,Sik Mul Sung,Cafe,11:00 - 21:00.,Vegetarian Cafe.,Vegetarian restaurant
POINT (127.9716267 36.9742653),36.9742653,127.9716267,Bitgaram Vegan Buffet,Korean,11:30 - 15:00.,"Vegetarian Restaurant. Buffet.
A restaurant certified as Muslim-friendly by the Korean government.",Vegetarian restaurant
POINT (126.9893452 37.5746594),37.5746594,126.9893452,Apbbang,Cafe,Wed - Sat 12:00 - 19:00.,Vegetarian Cafe.,Vegetarian restaurant
POINT (126.948641 37.50312999999999),37.5031299,126.948641 ,Ooh Breado,Cafe,10:30 - 21:00.,Vegetarian Cafe.,Vegetarian restaurant
POINT (126.9068712 37.5521385),37.5521385,126.9068712,Camel's Kitchen,South East Asian,11:30 - 20:30. Breaktime 15:00 - 17:00. Closed on Sundays.,Vegetarian Restaurant.,Vegetarian restaurant
POINT (126.9722791 37.5846524),37.5846524,126.9722791,Qyun,Cafe,11:00 - 16:00. Closed on Mondays.,Vegetarian Cafe. Grocery Cafe.,Vegetarian restaurant
POINT (126.9170843 37.5545365),37.5545365,126.9170843,For Four Bread,Cafe,"11:00 - 18:00. Closed on Sundays, Mondays.",Vegetarian Cafe.,Vegetarian restaurant
POINT (127.0590185 37.5114024),37.5114024,127.0590185,Plantude,Western,11:00 - 21:00.,Vegetarian Restaurant.,Vegetarian restaurant
POINT (127.0205702 37.52146200000001),37.5214620,127.0205702,Pinch Brunch,Cafe,11:30 - 22:00. Breaktime 15:00 - 18:00. Closed on Mondays.,Vegetarian Restaurant.,Vegetarian restaurant
POINT (126.915939 37.5596069),37.5596069,126.915939 ,Haemil,Cafe,09:00 - 20:00. ,Vegetarian Cafe.,Vegetarian restaurant
POINT (127.1114266 37.5114382),37.5114382,127.1114266,Rooted Seoul,Cafe,"11:00 - 20:00. Closed on Sundays, Mondays.",Vegetarian Cafe.,Vegetarian restaurant
POINT (126.6969823 37.7913688),37.7913688,126.6969823,Think Green Cafe,Western,10:00 - 19:00. ,Vegetarian Restaurant.,Vegetarian restaurant
POINT (126.9865232 37.5775618),37.5775618,126.9865232,DalByeol,Turkish,10:00 - 20:00.,Vegetarian Restaurant.,Vegetarian restaurant
POINT (126.9831801 37.5738938),37.5738938,126.9831801,Balwoo Gongyang,Korean,11:30 - 21:30. Closed on Sundays.,"Vegetarian Restaurant.
A restaurant certified as Muslim-friendly by the Korean government.",Vegetarian restaurant
POINT (129.1864776 35.8229751),35.8229751,129.1864776,Yeonhwabaru,Korean,12:00 - 21:00. ,Vegetarian Restaurant.,Vegetarian restaurant
POINT (129.2093062 35.8346238),35.8346238,129.2093062,Vege Bakery Cafe,Cafe,09:00 - 20:00. ,Vegetarian Cafe.,Vegetarian restaurant
POINT (126.993548 37.533584),37.533584,126.993548 ,Camouflage,Chinese,11:00 - 24:00. ,Vegetarian Restaurant.,Vegetarian restaurant
POINT (126.9388111 37.5485293),37.5485293,126.9388111,Ni Ni Nae,Cafe,Wed - Sat 12:00 - 19:00.,Vegetarian Cafe.,Vegetarian restaurant
POINT (126.9991088 37.5895904),37.5895904,126.9991088,Vegan Cafe Dalyang,Cafe,11:00 - 21:00. Closed on Tuesdays.,Vegetarian Cafe.,Vegetarian restaurant
POINT (126.9581171 37.47727649999999),37.4772764,126.9581171,Wonde Raw,Cafe,Thu - Sun 13:00 - 19:00.,Vegetarian Cafe.,Vegetarian restaurant
POINT (126.9834058 37.4801639),37.4801639,126.9834058,Cafe Turtle,Cafe,12:00 - 22:00.,Vegetarian Cafe.,Vegetarian restaurant
POINT (126.9970973 37.49620120000001),37.4962012,126.9970973,Food Does Matter,Western,11:30 - 21:30. Breaktime 15:30 - 17:00. Closed on Mondays.,Vegetarian Restaurant.,Vegetarian restaurant
POINT (127.018953 37.48538140000001),37.4853814,127.018953 ,Millennial Dining,Korean,18:00 - 22:00. Weekends 12:00 - 22:00. Breaktime 15:30 - 18:00.,Vegetarian Restaurant. Reservation required.,Vegetarian restaurant
POINT (127.0446012 37.5218706),37.5218706,127.0446012,Dr Vegan,Cafe,09:00 - 18:00. Closed on Weekends.,Vegetarian Cafe. Reservation required.,Vegetarian restaurant
POINT (127.0377763 37.476251),37.476251,127.0377763,Wholesome,Cafe,Wed - Sat 11:00 - 17:00.,Vegetarian Restaurant. Reservation required.,Vegetarian restaurant
